Palavra-Chave,Respostas
boa tarde,"Boa tarde!! Sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
boa tarde!,"Boa tarde!! Sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
boa noite,"Boa noite!! Sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
boa noite!,"Boa noite!! Sou a *Juju* 🙎🏽, atendente virtual da Justiça Federal da Bahia.  
Se quiser falar comigo, digite *Ju*.
Se quiser falar com o atendente virtual do Juizado Especial Federal, digite *JEF*.

Pode também acessar o nosso *site* no link  https://www.trf1.jus.br/sjba/home/"
jef,"Olá, sou o JEFinho 🧔🏻, atendente virtual do JEF.
Digite:

1️⃣ *Para consulta detalhada do processo do JEF* 🤖
2️⃣ Para entrar com uma ação.
3️⃣ Para informações sobre processos.
4️⃣ Para outros canais de atendimento do JEF.
5️⃣ Para os contatos das Varas de JEF.
6️⃣ Para consulta de RPV ou PRECATÓRIO. 
7️⃣ Para cadastro de Perito.
8️⃣ Para ver a Cartilha de Termos usados na Justiça Federal.
9️⃣ Endereço do JEF


Para voltar a este menu, digite *JEF* a qualquer tempo. Precisando de mais informações sobre a SJBA, digite *Ju*🙎🏽."
jefinho,"Olá, sou o JEFinho 🧔🏻, atendente virtual do JEF.
Digite:

1️⃣ *Para consulta detalhada do processo do JEF* 🤖
2️⃣ Para entrar com uma ação.
3️⃣ Para informações sobre processos.
4️⃣ Para outros canais de atendimento do JEF.
5️⃣ Para os contatos das Varas de JEF.
6️⃣ Para consulta de RPV ou PRECATÓRIO. 
7️⃣ Para cadastro de Perito.
8️⃣ Para ver a Cartilha de Termos usados na Justiça Federal.
9️⃣ Endereço do JEF


Para voltar a este menu, digite *JEF* a qualquer tempo. Precisando de mais informações sobre a SJBA, digite *Ju*🙎🏽."
juizado,"Olá, sou o JEFinho 🧔🏻, atendente virtual do JEF.
Digite:

1️⃣ *Para consulta detalhada do processo do JEF* 🤖
2️⃣ Para entrar com uma ação.
3️⃣ Para informações sobre processos.
4️⃣ Para outros canais de atendimento do JEF.
5️⃣ Para os contatos das Varas de JEF.
6️⃣ Para consulta de RPV ou PRECATÓRIO. 
7️⃣ Para cadastro de Perito.
8️⃣ Para ver a Cartilha de Termos usados na Justiça Federal.
9️⃣ Endereço do JEF


Para voltar a este menu, digite *JEF* a qualquer tempo. Precisando de mais informações sobre a SJBA, digite *Ju*🙎🏽."
1,"🧔🏻 Para consulta detalhada do seu processo do JEF, clique no link: 
https://wa.me/557734238934"
consulta detalhada,"🧔🏻 Para consulta detalhada do seu processo do JEF, clique no link: 
https://wa.me/557734238934"
2,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online 

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia  

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital*, acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436).*"
ajuizar,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online 

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia  

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital*, acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436).*"
dar entrada,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online 

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia  

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital*, acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436).*"
abrir um processo,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online 

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia  

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital*, acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436).*"
ingressar com ação,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online 

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia  

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital*, acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436).*"
abrir processo,"🧔🏻Para dar entrada no seu processo no Juizado Especial Federal (contra *INSS*, *Caixa*, *União*, *Correios*, ou outros), sem advogado ou Defensor Público, o seu pedido deve ser feito através do link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online 

Se preferir abrir um processo com *Defensor Público da União* ou precise de orientações jurídicas sobre processo em andamento (ex: o que deve fazer, como proceder), entre em contato com a *DPU* clicando em https://www.dpu.def.br/endereco-bahia  

Para o(a) *advogado(a)* ingressar com uma Ação Judicial na Justiça Federal deve obter o *Certificado Digital*, acessar o sistema *PJe*, cadastrar e distribuir o processo através do link https://pje1g.trf1.jus.br/pje/login.seam. Para processos no JEF, utilize a Classe *PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436).*"
3,"🧔🏻 Para saber se o seu processo já está distribuído na JFBA, preencha o campo com o seu *CPF* no link https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam  e clique em *PESQUISAR*. 

Voce também pode consultar o andamento do seu processo nos links abaixo: 
*PJe* - https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam 

*Processual* - https://processual.trf1.jus.br/consultaProcessual/numeroProcesso.php?secao=BA&enviar=ok  

Se quiser ser informado toda vez que seu processo for movimentado, cadastre-se no *Sistema Push do PJE* no link https://pje1g.trf1.jus.br/pje/Push/loginPush.seam  e/ou no *Sistema Push do Processual* no link https://portal.trf1.jus.br/Processos/Push/ 

Se quiser entrar em contato com a Vara onde o seu processo está tramitando, consulte os canais de contato no link https://www.trf1.jus.br/sjba/atendimento/plantao-judicial-atendimento-ao-publico-externo ou digite 4️⃣. Se for de Subseção, digite *INTERIOR*

Se quiser uma consulta detalhada a respeito do seu processo clique no link https://wa.me/557734238934 ou digite  1️⃣."
4,"🧔🏻Você também pode entrar em contato com *Setor de Atermação do JEF* em Salvador através dos telefones abaixo.

📱 (71) 3616-4331 das 09h às 15h

Acesse *vídeos explicativos sobre o JEF* no link https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T 

Pode acesssar o nosso *site* no link: https://www.trf1.jus.br/sjba/home//sjba/ 

Se ainda assim precisar de atendimento on line pela vara ou pelo *Balcão Virtual*, digite 5️⃣

Obrigado!! Se puder, avalie este atendimento no link https://forms.gle/dT4jcRsHxrQtMhEE7"
atermação,"🧔🏻Você também pode entrar em contato com *Setor de Atermação do JEF* em Salvador através dos telefones abaixo.

📱 (71) 3616-4331 das 09h às 15h

Acesse *vídeos explicativos sobre o JEF* no link https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T 

Pode acesssar o nosso *site* no link: https://www.trf1.jus.br/sjba/home//sjba/ 

Se ainda assim precisar de atendimento on line pela vara ou pelo *Balcão Virtual*, digite 5️⃣

Obrigado!! Se puder, avalie este atendimento no link https://forms.gle/dT4jcRsHxrQtMhEE7"
atermacao,"🧔🏻Você também pode entrar em contato com *Setor de Atermação do JEF* em Salvador através dos telefones abaixo.

📱 (71) 3616-4331 das 09h às 15h

Acesse *vídeos explicativos sobre o JEF* no link https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T 

Pode acesssar o nosso *site* no link: https://www.trf1.jus.br/sjba/home//sjba/ 

Se ainda assim precisar de atendimento on line pela vara ou pelo *Balcão Virtual*, digite 5️⃣

Obrigado!! Se puder, avalie este atendimento no link https://forms.gle/dT4jcRsHxrQtMhEE7"
atermaçao,"🧔🏻Você também pode entrar em contato com *Setor de Atermação do JEF* em Salvador através dos telefones abaixo.

📱 (71) 3616-4331 das 09h às 15h

Acesse *vídeos explicativos sobre o JEF* no link https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T 

Pode acesssar o nosso *site* no link: https://www.trf1.jus.br/sjba/home//sjba/ 

Se ainda assim precisar de atendimento on line pela vara ou pelo *Balcão Virtual*, digite 5️⃣

Obrigado!! Se puder, avalie este atendimento no link https://forms.gle/dT4jcRsHxrQtMhEE7"
atermacão,"🧔🏻Você também pode entrar em contato com *Setor de Atermação do JEF* em Salvador através dos telefones abaixo.

📱 (71) 3616-4331 das 09h às 15h

Acesse *vídeos explicativos sobre o JEF* no link https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T 

Pode acesssar o nosso *site* no link: https://www.trf1.jus.br/sjba/home//sjba/ 

Se ainda assim precisar de atendimento on line pela vara ou pelo *Balcão Virtual*, digite 5️⃣

Obrigado!! Se puder, avalie este atendimento no link https://forms.gle/dT4jcRsHxrQtMhEE7"
5,"🧔🏻 Se você sabe em qual Juizado da capital o seu processo tramita, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação dela. 

Exemplo: *15VF* para a 15ª Vara JEF.

Se for de Subseção, digite *INTERIOR*. Se não souber qual a Vara, digite 3️⃣ para consulta."
6,"🧔🏻Para consultar o andamento da *RPV* ou do *Precatório* expedido, acesse o link: https://processual.trf1.jus.br/consultaProcessual/cpfCnpjParte.php?secao=TRF1  e preencha o campo _""CPF ou CNPJ da parte""_ com o seu *CPF* e clique em _""Pesquisar""_.

Acompanhe o andamento da RPV/Precatório na aba _""MOVIMENTAÇÃO""_. 

A movimentação _""40510-VALOR DEPOSITADO""_, indica que o valor está disponível para saque em qualquer agência do banco informado."
7,"🧔🏻 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/trf1/servicos/assistencia-judiciaria-gratuita"
9,"*Endereço dos Juizados Especiais Federais:*

4ª Avenida do Centro Administrativo da Bahia (CAB), Nº 425, Prédio Arx Tourinho, Salvador/BA
CEP: 41745-002
Em frente ao edifício da EMBASA

https://maps.app.goo.gl/BrHeX2WU1vQm9YSS8"
Conheça o JEF,🧔🏻 Para acessar os vídeos do projeto *Conheça o JEF* clique no link: https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T
vídeos explicativos,🧔🏻 Para acessar os vídeos do projeto *Conheça o JEF* clique no link: https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T
vídeos,🧔🏻 Para acessar os vídeos do projeto *Conheça o JEF* clique no link: https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T
videos,🧔🏻 Para acessar os vídeos do projeto *Conheça o JEF* clique no link: https://www.youtube.com/playlist?list=PLsx9pZRBO6EZAkM0pILrz6TMAanicfm1T
ju,"🙎🏽 Olá, em que posso ajudar? Tenho informações sobre: 

▪️ *Arquivo*
▪️ *Cartas*
▪️ *Certidões*
▪️ *Consulta processual*
▪️ *Contadoria*
▪️ *Contatos*
▪️ *Custas*
▪️ *Distribuição*
▪️ *PJe*
▪️ *Plantão*
▪️ *Protocolo*
▪️ *RPV* e *Precatório*
▪️ *Varas*
▪️ *Cartilha de termos usados na JF*, etc.

Digite o assunto do seu interesse.

Para voltar a este menu, digite *JU* a qualquer tempo. Precisando de informações sobre o Juizado especial Federal, digite *JEF*🧔🏻"
juju,"🙎🏽 Olá, em que posso ajudar? Tenho informações sobre: 

▪️ *Arquivo*
▪️ *Cartas*
▪️ *Certidões*
▪️ *Consulta processual*
▪️ *Contadoria*
▪️ *Contatos*
▪️ *Custas*
▪️ *Distribuição*
▪️ *PJe*
▪️ *Plantão*
▪️ *Protocolo*
▪️ *RPV* e *Precatório*
▪️ *Varas*
▪️ *Cartilha de termos usados na JF*, etc.

Digite o assunto do seu interesse.

Para voltar a este menu, digite *JU* a qualquer tempo. Precisando de informações sobre o Juizado especial Federal, digite *JEF*🧔🏻"
carta,"🙎🏽 Se você recebeu uma ✉️ *carta registrada* da Justiça Federal, através do sistema *e-Carta*, clique no link abaixo 👇🏾 para orientações de como *visualizar e baixar os documentos anexos*.

https://drive.google.com/file/d/11CGZC6xjJKQVceI8xH9tUPjhWST3Ednl/view?usp=sharing"
e-carta,"🙎🏽 Se você recebeu uma ✉️ *carta registrada* da Justiça Federal, através do sistema *e-Carta*, clique no link abaixo 👇🏾 para orientações de como *visualizar e baixar os documentos anexos*.

https://drive.google.com/file/d/11CGZC6xjJKQVceI8xH9tUPjhWST3Ednl/view?usp=sharing"
cartas,"🙎🏽 Se você recebeu uma ✉️ *carta registrada* da Justiça Federal, através do sistema *e-Carta*, clique no link abaixo 👇🏾 para orientações de como *visualizar e baixar os documentos anexos*.

https://drive.google.com/file/d/11CGZC6xjJKQVceI8xH9tUPjhWST3Ednl/view?usp=sharing"
contato,"🙎🏽 Para contatos do Juizado Especial Federal, digite *JEF* que o Jefinho te atende.

🙎🏽  Para contatos de Varas Federais de Salvador, digite *capital*.

🙎🏽  Para contatos das Subseções Judiciárias, digite *interior*.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados no link: https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones.htm"
contatos,"🙎🏽 Para contatos do Juizado Especial Federal, digite *JEF* que o Jefinho te atende.

🙎🏽  Para contatos de Varas Federais de Salvador, digite *capital*.

🙎🏽  Para contatos das Subseções Judiciárias, digite *interior*.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados no link: https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones.htm"
vara,🙎🏽 Você quer falar com uma Vara Federal da *capital* ou do *interior* da Bahia?
varas,🙎🏽 Você quer falar com uma Vara Federal da *capital* ou do *interior* da Bahia?
capital,"🙎🏽 Digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação dela. 

Exemplo: *01VF* para a 1ª Vara Federal 

Se não souber qual a Vara, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
salvador,"🙎🏽 Digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação dela. 

Exemplo: *01VF* para a 1ª Vara Federal 

Se não souber qual a Vara, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
interior,"🙎🏽 Digite o nome da Subseção Judiciária para ter acesso aos canais de comunicação dela.

Exemplo: *Feira de Santana*

Se não souber em qual Vara tramita o seu processo, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
subseção,"🙎🏽 Digite o nome da Subseção Judiciária para ter acesso aos canais de comunicação dela.

Exemplo: *Feira de Santana*

Se não souber em qual Vara tramita o seu processo, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
subsecao,"🙎🏽 Digite o nome da Subseção Judiciária para ter acesso aos canais de comunicação dela.

Exemplo: *Feira de Santana*

Se não souber em qual Vara tramita o seu processo, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
subseçao,"🙎🏽 Digite o nome da Subseção Judiciária para ter acesso aos canais de comunicação dela.

Exemplo: *Feira de Santana*

Se não souber em qual Vara tramita o seu processo, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
subseções,"🙎🏽 Digite o nome da Subseção Judiciária para ter acesso aos canais de comunicação dela.

Exemplo: *Feira de Santana*

Se não souber em qual Vara tramita o seu processo, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
subsecoes,"🙎🏽 Digite o nome da Subseção Judiciária para ter acesso aos canais de comunicação dela.

Exemplo: *Feira de Santana*

Se não souber em qual Vara tramita o seu processo, digite 3️⃣ para consulta.

Todos os endereços e telefones da Seção Judiciária da Bahia também podem ser encontrados em https://www.trf1.jus.br/sjba/institucional/enderecos-e-telefones"
auxílio emergencial,"🙎🏽 Consulte a situação do seu Auxílio Emergencial no site da Dataprev, clicando em https://consultaauxilio.dataprev.gov.br/consulta/#/

Para *entrar com um processo* solicitando o Auxílio Emergencial, primeiro leia as instruções 📄 no link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online

Para fazer o pedido, preencha o formulário 📋 no link https://sistemas.trf1.jus.br/atermacao/.

Mas se você já deu entrada no seu pedido de Auxílio Emergencial e quer saber o andamento do seu processo, clique no link https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam e consulte por *CPF* ou pelo número do *processo*

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão. Se o seu processo está concluso, aguarde e volte a consultá-lo nesse mesmo canal de atendimento._

Se preferir, digite *JEF* e fale com o Jefinho 🧔🏻."
auxilio emergencial,"🙎🏽 Consulte a situação do seu Auxílio Emergencial no site da Dataprev, clicando em https://consultaauxilio.dataprev.gov.br/consulta/#/

Para *entrar com um processo* solicitando o Auxílio Emergencial, primeiro leia as instruções 📄 no link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online

Para fazer o pedido, preencha o formulário 📋 no link https://sistemas.trf1.jus.br/atermacao/.

Mas se você já deu entrada no seu pedido de Auxílio Emergencial e quer saber o andamento do seu processo, clique no link https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam e consulte por *CPF* ou pelo número do *processo*

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão. Se o seu processo está concluso, aguarde e volte a consultá-lo nesse mesmo canal de atendimento._

Se preferir, digite *JEF* e fale com o Jefinho 🧔🏻."
Auxílio,"🙎🏽 Consulte a situação do seu Auxílio Emergencial no site da Dataprev, clicando em https://consultaauxilio.dataprev.gov.br/consulta/#/

Para *entrar com um processo* solicitando o Auxílio Emergencial, primeiro leia as instruções 📄 no link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online

Para fazer o pedido, preencha o formulário 📋 no link https://sistemas.trf1.jus.br/atermacao/.

Mas se você já deu entrada no seu pedido de Auxílio Emergencial e quer saber o andamento do seu processo, clique no link https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam e consulte por *CPF* ou pelo número do *processo*

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão. Se o seu processo está concluso, aguarde e volte a consultá-lo nesse mesmo canal de atendimento._

Se preferir, digite *JEF* e fale com o Jefinho 🧔🏻."
Auxilio,"🙎🏽 Consulte a situação do seu Auxílio Emergencial no site da Dataprev, clicando em https://consultaauxilio.dataprev.gov.br/consulta/#/

Para *entrar com um processo* solicitando o Auxílio Emergencial, primeiro leia as instruções 📄 no link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online

Para fazer o pedido, preencha o formulário 📋 no link https://sistemas.trf1.jus.br/atermacao/.

Mas se você já deu entrada no seu pedido de Auxílio Emergencial e quer saber o andamento do seu processo, clique no link https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam e consulte por *CPF* ou pelo número do *processo*

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão. Se o seu processo está concluso, aguarde e volte a consultá-lo nesse mesmo canal de atendimento._

Se preferir, digite *JEF* e fale com o Jefinho 🧔🏻."
Emergencial,"🙎🏽 Consulte a situação do seu Auxílio Emergencial no site da Dataprev, clicando em https://consultaauxilio.dataprev.gov.br/consulta/#/

Para *entrar com um processo* solicitando o Auxílio Emergencial, primeiro leia as instruções 📄 no link https://www.trf1.jus.br/trf1/atermacao-on-line/atermacao-online

Para fazer o pedido, preencha o formulário 📋 no link https://sistemas.trf1.jus.br/atermacao/.

Mas se você já deu entrada no seu pedido de Auxílio Emergencial e quer saber o andamento do seu processo, clique no link https://pje1g.trf1.jus.br/consultapublica/ConsultaPublica/listView.seam e consulte por *CPF* ou pelo número do *processo*

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão. Se o seu processo está concluso, aguarde e volte a consultá-lo nesse mesmo canal de atendimento._

Se preferir, digite *JEF* e fale com o Jefinho 🧔🏻."
rpv,"🙎🏽 Para consultar o andamento da *RPV* ou do *Precatório* expedido, acesse o link: https://processual.trf1.jus.br/consultaProcessual/cpfCnpjParte.php?secao=TRF1 e preencha o campo _""CPF ou CNPJ da parte""_ com o seu *CPF* e clique em _""Pesquisar""_.

Acompanhe o andamento da RPV/Precatório na aba _""MOVIMENTAÇÃO""_. 

A movimentação _""40510-VALOR DEPOSITADO""_, indica que o valor está disponível para saque em qualquer agência do banco informado.

Caso o RPV/Precatório não tenha sido expedido, vc verá a mensagem: *Nenhum registro encontrado para o CPF/CNPJ informado.*"
precatório,"🙎🏽 Para consultar o andamento da *RPV* ou do *Precatório* expedido, acesse o link: https://processual.trf1.jus.br/consultaProcessual/cpfCnpjParte.php?secao=TRF1 e preencha o campo _""CPF ou CNPJ da parte""_ com o seu *CPF* e clique em _""Pesquisar""_.

Acompanhe o andamento da RPV/Precatório na aba _""MOVIMENTAÇÃO""_. 

A movimentação _""40510-VALOR DEPOSITADO""_, indica que o valor está disponível para saque em qualquer agência do banco informado.

Caso o RPV/Precatório não tenha sido expedido, vc verá a mensagem: *Nenhum registro encontrado para o CPF/CNPJ informado.*"
